HBM_CATMAN20_DATAFILE

27/05/04
17:41
CHANNELS: 3
SEPARATOR: 9
MAXLINES: 1020               

_CH1_Timebase	_CH2_Channel2	_CH3_Channel3
s	mm	mm
05/27/04-17:40:13	05/27/04-17:40:13	05/27/04-17:40:13
		

0.000	1.148	0.236
0.017	1.084	0.228
0.033	1.142	0.212
0.050	1.128	0.220
0.067	1.118	0.248
0.083	1.106	0.240
0.100	1.162	0.248
0.117	1.186	0.280
0.133	1.182	0.248
0.150	1.126	0.248
0.167	1.126	0.260
0.183	1.186	0.276
0.200	1.198	0.264
0.217	1.140	0.248
0.233	1.164	0.240
0.250	1.150	0.252
0.267	1.188	0.248
0.283	1.202	0.264
0.300	1.192	0.272
0.317	1.150	0.268
0.333	1.208	0.292
0.350	1.252	0.284
0.367	1.204	0.252
0.383	1.186	0.236
0.400	1.166	0.280
0.417	1.180	0.256
0.433	1.198	0.268
0.450	1.184	0.276
0.467	1.126	0.304
0.483	1.164	0.308
0.500	1.140	0.244
0.517	1.218	0.240
0.533	1.206	0.260
0.550	1.246	0.268
0.567	1.268	0.308
0.583	1.236	0.308
0.600	1.254	0.288
0.617	1.282	0.272
0.633	1.292	0.240
0.650	1.214	0.236
0.667	1.216	0.280
0.683	1.216	0.284
0.700	1.254	0.280
0.717	1.226	0.284
0.733	1.240	0.300
0.750	1.254	0.272
0.767	1.238	0.260
0.783	1.222	0.224
0.800	1.218	0.260
0.817	1.252	0.272
0.833	1.290	0.284
0.850	1.286	0.280
0.867	1.202	0.316
0.883	1.210	0.272
0.900	1.218	0.232
0.917	1.254	0.256
0.933	1.274	0.304
0.950	1.260	0.308
0.967	1.188	0.292
0.983	1.192	0.304
1.000	1.172	0.280
1.017	1.150	0.280
1.033	1.140	0.276
1.050	1.184	0.308
1.067	1.182	0.324
1.083	1.186	0.308
1.100	1.208	0.264
1.117	1.216	0.276
1.133	1.228	0.280
1.150	1.164	0.264
1.167	1.210	0.268
1.183	1.238	0.284
1.200	1.254	0.328
1.217	1.248	0.312
1.233	1.174	0.268
1.250	1.194	0.216
1.267	1.214	0.272
1.283	1.194	0.284
1.300	1.140	0.284
1.317	1.230	0.284
1.333	1.286	0.316
1.350	1.304	0.320
1.367	1.272	0.272
1.383	1.254	0.248
1.400	1.270	0.252
1.417	1.284	0.284
1.433	1.196	0.264
1.450	1.222	0.248
1.467	1.232	0.252
1.483	1.264	0.276
1.500	1.260	0.268
1.517	1.212	0.272
1.533	1.238	0.288
1.550	1.248	0.292
1.567	1.260	0.244
1.583	1.272	0.232
1.600	1.256	0.252
1.617	1.244	0.260
1.633	1.192	0.252
1.650	1.202	0.272
1.667	1.232	0.312
1.683	1.232	0.308
1.700	1.230	0.292
1.717	1.224	0.264
1.733	1.222	0.248
1.750	1.244	0.252
1.767	1.234	0.232
1.783	1.248	0.228
1.800	1.214	0.284
1.817	1.206	0.324
1.833	1.232	0.304
1.850	1.208	0.276
1.867	1.198	0.232
1.883	1.198	0.212
1.900	1.204	0.216
1.917	1.202	0.252
1.933	1.204	0.276
1.950	1.232	0.268
1.967	1.256	0.224
1.983	1.200	0.236
2.000	1.206	0.272
2.017	1.166	0.300
2.033	1.230	0.284
2.050	1.188	0.280
2.067	1.218	0.272
2.083	1.202	0.240
2.100	1.234	0.220
2.117	1.222	0.232
2.133	1.190	0.232
2.150	1.200	0.268
2.167	1.158	0.284
2.183	1.212	0.288
2.200	1.216	0.296
2.217	1.228	0.284
2.233	1.184	0.212
2.250	1.128	0.200
2.267	1.092	0.212
2.283	1.116	0.252
2.300	1.194	0.256
2.317	1.232	0.272
2.333	1.212	0.260
2.350	1.148	0.252
2.367	1.174	0.192
2.383	1.152	0.220
2.400	1.214	0.268
2.417	1.154	0.280
2.433	1.186	0.256
2.450	1.190	0.248
2.467	1.226	0.220
2.483	1.224	0.212
2.500	1.186	0.208
2.517	1.152	0.224
2.533	1.098	0.232
2.550	1.094	0.272
2.567	1.160	0.268
2.583	1.210	0.248
2.600	1.160	0.232
2.617	1.082	0.256
2.633	1.120	0.248
2.650	1.128	0.268
2.667	1.148	0.256
2.683	1.112	0.276
2.700	1.130	0.268
2.717	1.072	0.244
2.733	1.082	0.216
2.750	1.126	0.240
2.767	1.176	0.264
2.783	1.148	0.264
2.800	1.168	0.248
2.817	1.146	0.256
2.833	1.176	0.204
2.850	1.146	0.212
2.867	1.170	0.220
2.883	1.196	0.260
2.900	1.190	0.244
2.917	1.118	0.240
2.933	1.124	0.252
2.950	1.178	0.264
2.967	1.232	0.256
2.983	1.166	0.248
3.000	1.198	0.248
3.017	1.200	0.284
3.033	1.214	0.288
3.050	1.190	0.236
3.067	1.144	0.244
3.083	1.160	0.276
3.100	1.188	0.292
3.117	1.170	0.284
3.133	1.156	0.292
3.150	1.172	0.312
3.167	1.166	0.312
3.183	1.178	0.284
3.200	1.144	0.256
3.217	1.124	0.252
3.233	1.162	0.240
3.250	1.178	0.268
3.267	1.196	0.240
3.283	1.236	0.272
3.300	1.242	0.292
3.317	1.172	0.284
3.333	1.182	0.248
3.350	1.160	0.252
3.367	1.208	0.248
3.383	1.152	0.256
3.400	1.210	0.240
3.417	1.158	0.284
3.433	1.242	0.308
3.450	1.254	0.276
3.467	1.286	0.308
3.483	1.312	0.288
3.500	1.300	0.268
3.517	1.284	0.260
3.533	1.274	0.264
3.550	1.238	0.260
3.567	1.202	0.240
3.583	1.210	0.228
3.600	1.242	0.232
3.617	1.236	0.292
3.633	1.180	0.320
3.650	1.222	0.340
3.667	1.228	0.300
3.683	1.226	0.300
3.700	1.214	0.240
3.717	1.156	0.220
3.733	1.182	0.212
3.750	1.150	0.248
3.767	1.182	0.292
3.783	1.156	0.340
3.800	1.192	0.304
3.817	1.204	0.308
3.833	1.184	0.300
3.850	1.160	0.228
3.867	1.168	0.216
3.883	1.174	0.244
3.900	1.206	0.292
3.917	1.160	0.272
3.933	1.204	0.276
3.950	1.242	0.284
3.967	1.204	0.316
3.983	1.210	0.276
4.000	1.160	0.252
4.017	1.140	0.248
4.033	1.134	0.244
4.050	1.228	0.248
4.067	1.222	0.232
4.083	1.240	0.260
4.100	1.260	0.272
4.117	1.224	0.256
4.133	1.236	0.256
4.150	1.230	0.296
4.167	1.222	0.316
4.183	1.206	0.252
4.200	1.244	0.192
4.217	1.248	0.188
4.233	1.272	0.232
4.250	1.212	0.248
4.267	1.200	0.260
4.283	1.236	0.276
4.300	1.260	0.316
4.317	1.258	0.264
4.333	1.288	0.256
4.350	1.284	0.228
4.367	1.196	0.252
4.383	1.232	0.244
4.400	1.154	0.228
4.417	1.206	0.236
4.433	1.228	0.216
4.450	1.252	0.216
4.467	1.256	0.240
4.483	1.254	0.292
4.500	1.244	0.308
4.517	1.250	0.300
4.533	1.226	0.256
4.550	1.236	0.240
4.567	1.196	0.208
4.583	1.180	0.172
4.600	1.218	0.192
4.617	1.230	0.272
4.633	1.222	0.320
4.650	1.226	0.324
4.667	1.228	0.292
4.683	1.268	0.268
4.700	1.210	0.244
4.717	1.214	0.180
4.733	1.148	0.184
4.750	1.156	0.196
4.767	1.140	0.252
4.783	1.152	0.240
4.800	1.208	0.260
4.817	1.222	0.264
4.833	1.230	0.280
4.850	1.262	0.288
4.867	1.206	0.252
4.883	1.220	0.236
4.900	1.182	0.208
4.917	1.222	0.196
4.933	1.172	0.188
4.950	1.210	0.216
4.967	1.214	0.256
4.983	1.234	0.308
5.000	1.248	0.276
5.017	1.210	0.260
5.033	1.156	0.256
5.050	1.130	0.216
5.067	1.178	0.160
5.083	1.182	0.172
5.100	1.208	0.248
5.117	1.258	0.260
5.133	1.190	0.264
5.150	1.162	0.276
5.167	1.186	0.284
5.183	1.160	0.260
5.200	1.182	0.232
5.217	1.196	0.204
5.233	1.216	0.232
5.250	1.248	0.244
5.267	1.230	0.232
5.283	1.192	0.232
5.300	1.144	0.256
5.317	1.184	0.280
5.333	1.182	0.256
5.350	1.164	0.272
5.367	1.116	0.256
5.383	1.064	0.252
5.400	1.058	0.212
5.417	1.062	0.212
5.433	1.094	0.228
5.450	1.110	0.252
5.467	1.214	0.276
5.483	1.248	0.308
5.500	1.224	0.312
5.517	1.128	0.312
5.533	1.082	0.252
5.550	1.088	0.204
5.567	1.176	0.208
5.583	1.154	0.252
5.600	1.188	0.260
5.617	1.184	0.252
5.633	1.244	0.292
5.650	1.256	0.304
5.667	1.240	0.276
5.683	1.226	0.252
5.700	1.146	0.232
5.717	1.162	0.252
5.733	1.192	0.236
5.750	1.174	0.232
5.767	1.132	0.228
5.783	1.194	0.276
5.800	1.204	0.264
5.817	1.188	0.272
5.833	1.176	0.292
5.850	1.198	0.292
5.867	1.172	0.256
5.883	1.120	0.256
5.900	1.152	0.220
5.917	1.092	0.244
5.933	1.096	0.208
5.950	1.096	0.232
5.967	1.198	0.248
5.983	1.188	0.288
6.000	1.200	0.252
6.017	1.194	0.252
6.033	1.204	0.276
6.050	1.146	0.252
6.067	1.136	0.220
6.083	1.156	0.212
6.100	1.188	0.252
6.117	1.200	0.292
6.133	1.174	0.284
6.150	1.154	0.272
6.167	1.204	0.284
6.183	1.216	0.268
6.200	1.234	0.244
6.217	1.236	0.244
6.233	1.218	0.264
6.250	1.198	0.292
6.267	1.226	0.280
6.283	1.192	0.280
6.300	1.182	0.264
6.317	1.132	0.296
6.333	1.134	0.272
6.350	1.142	0.284
6.367	1.220	0.236
6.383	1.144	0.228
6.400	1.176	0.220
6.417	1.188	0.224
6.433	1.226	0.244
6.450	1.230	0.328
6.467	1.214	0.336
6.483	1.158	0.272
6.500	1.196	0.236
6.517	1.154	0.228
6.533	1.154	0.204
6.550	1.122	0.168
6.567	1.170	0.224
6.583	1.234	0.276
6.600	1.258	0.300
6.617	1.244	0.284
6.633	1.240	0.276
6.650	1.214	0.308
6.667	1.212	0.272
6.683	1.218	0.252
6.700	1.212	0.236
6.717	1.180	0.272
6.733	1.156	0.244
6.750	1.170	0.248
6.767	1.194	0.252
6.783	1.220	0.292
6.800	1.234	0.272
6.817	1.216	0.284
6.833	1.210	0.272
6.850	1.156	0.284
6.867	1.158	0.260
6.883	1.110	0.224
6.900	1.168	0.216
6.917	1.160	0.228
6.933	1.182	0.284
6.950	1.188	0.284
6.967	1.210	0.284
6.983	1.222	0.276
7.000	1.216	0.260
7.017	1.212	0.220
7.033	1.186	0.212
7.050	1.200	0.240
7.067	1.194	0.268
7.083	1.186	0.268
7.100	1.180	0.276
7.117	1.178	0.292
7.133	1.178	0.252
7.150	1.224	0.244
7.167	1.232	0.208
7.183	1.218	0.240
7.200	1.238	0.240
7.217	1.162	0.264
7.233	1.200	0.240
7.250	1.148	0.240
7.267	1.176	0.264
7.283	1.196	0.256
7.300	1.246	0.280
7.317	1.246	0.296
7.333	1.248	0.328
7.350	1.212	0.288
7.367	1.174	0.252
7.383	1.176	0.232
7.400	1.152	0.232
7.417	1.174	0.208
7.433	1.252	0.244
7.450	1.284	0.284
7.467	1.326	0.336
7.483	1.240	0.324
7.500	1.188	0.292
7.517	1.254	0.276
7.533	1.190	0.236
7.550	1.224	0.240
7.567	1.244	0.232
7.583	1.212	0.256
7.600	1.234	0.260
7.617	1.158	0.264
7.633	1.190	0.248
7.650	1.178	0.252
7.667	1.190	0.260
7.683	1.234	0.232
7.700	1.206	0.212
7.717	1.162	0.204
7.733	1.188	0.212
7.750	1.158	0.224
7.767	1.184	0.228
7.783	1.156	0.196
7.800	1.180	0.216
7.817	1.196	0.236
7.833	1.264	0.268
7.850	1.268	0.236
7.867	1.210	0.256
7.883	1.212	0.224
7.900	1.150	0.208
7.917	1.210	0.208
7.933	1.198	0.244
7.950	1.212	0.220
7.967	1.196	0.232
7.983	1.178	0.224
8.000	1.168	0.216
8.017	1.174	0.200
8.033	1.154	0.196
8.050	1.118	0.232
8.067	1.110	0.260
8.083	1.224	0.260
8.100	1.212	0.208
8.117	1.110	0.184
8.133	1.096	0.196
8.150	1.070	0.184
8.167	1.148	0.192
8.183	1.188	0.220
8.200	1.168	0.264
8.217	1.192	0.248
8.233	1.144	0.196
8.250	1.166	0.188
8.267	1.146	0.228
8.283	1.168	0.212
8.300	1.112	0.200
8.317	1.136	0.208
8.333	1.198	0.240
8.350	1.204	0.232
8.367	1.128	0.216
8.383	1.144	0.212
8.400	1.134	0.244
8.417	1.124	0.232
8.433	1.046	0.216
8.450	1.116	0.200
8.467	1.142	0.208
8.483	1.120	0.224
8.500	1.022	0.220
8.517	1.058	0.208
8.533	1.086	0.236
8.550	1.112	0.252
8.567	1.100	0.208
8.583	1.124	0.208
8.600	1.110	0.232
8.617	1.102	0.228
8.633	1.094	0.216
8.650	1.124	0.224
8.667	1.138	0.240
8.683	1.128	0.252
8.700	1.124	0.252
8.717	1.128	0.236
8.733	1.172	0.264
8.750	1.176	0.252
8.767	1.166	0.228
8.783	1.170	0.180
8.800	1.156	0.196
8.817	1.186	0.216
8.833	1.158	0.220
8.850	1.194	0.208
8.867	1.144	0.216
8.883	1.188	0.232
8.900	1.188	0.248
8.917	1.216	0.276
8.933	1.196	0.268
8.950	1.176	0.240
8.967	1.152	0.172
